name,base,suffix,base_characters,full_characters,suffix_characters,suffix_minus_base
SOUTH MIDLER AVENUE,MIDLER,AVENUE,6,17,6,0
SOUTH SALINA STREET,SALINA,STREET,6,17,6,0
SOUTH WARREN STREET,WARREN,STREET,6,17,6,0
SOUTH WILBUR AVENUE,WILBUR,AVENUE,6,17,6,0
SPRINGBROOK AVENUE,SPRINGBROOK,AVENUE,11,17,6,-5
SUNNYSIDE PARK ROAD,SUNNYSIDE PARK,ROAD,13,17,4,-9
WEST BISSELL STREET,BISSELL,STREET,7,17,6,-1
WEST CORNING AVENUE,CORNING,AVENUE,7,17,6,-1
WEST FAYETTE STREET,FAYETTE,STREET,7,17,6,-1
WEST GENESEE STREET,GENESEE,STREET,7,17,6,-1
WEST KENNEDY STREET,KENNEDY,STREET,7,17,6,-1
WESTMINSTER AVENUE,WESTMINSTER,AVENUE,11,17,6,-5
COMMONWEALTH AVENUE,COMMONWEALTH,AVENUE,12,18,6,-6
DARLINGTON ROAD EAST,DARLINGTON,ROAD,10,18,4,-6
EAST BRIGHTON AVENUE,BRIGHTON,AVENUE,8,18,6,-2
EAST CHELTENHAM ROAD,CHELTENHAM,ROAD,10,18,4,-6
EAST DIVISION STREET,DIVISION,STREET,8,18,6,-2
EAST FLORENCE AVENUE,FLORENCE,AVENUE,8,18,6,-2
EAST GENESEE PARKWAY,GENESEE,PARKWAY,7,18,7,0
EAST GIFFORD PARKWAY,GIFFORD,PARKWAY,7,18,7,0
EAST ONONDAGA STREET,ONONDAGA,STREET,8,18,6,-2
EAST PLEASANT AVENUE,PLEASANT,AVENUE,8,18,6,-2
EAST SENECA TURNPIKE,SENECA,TURNPIKE,6,18,8,2
EAST WARRINGTON ROAD,WARRINGTON,ROAD,10,18,4,-6
MCCHESNEY PARK DRIVE,MCCHESNEY PARK,DRIVE,13,18,5,-8
MORNINGSIDE TERRACE,MORNINGSIDE,TERRACE,11,18,7,-4
MOUNTAINVIEW AVENUE,MOUNTAINVIEW,AVENUE,12,18,6,-6
NORTH CLINTON STREET,CLINTON,STREET,7,18,6,-1
NORTH EDWARDS AVENUE,EDWARDS,AVENUE,7,18,6,-1
NORTH MCBRIDE STREET,MCBRIDE,STREET,7,18,6,-1
PENNSYLVANIA AVENUE,PENNSYLVANIA,AVENUE,12,18,6,-6
PLEASANTVIEW AVENUE,PLEASANTVIEW,AVENUE,12,18,6,-6
ROCK CUT ROUNDABAOUT,ROCK CUT ROUNDABAOUT,,18,18,0,-18
SALISBURY PARK DRIVE,SALISBURY PARK,DRIVE,13,18,5,-8
SCOTTHOLM BOULEVARD,SCOTTHOLM,BOULEVARD,9,18,9,0
SEVENTH NORTH STREET,SEVENTH NORTH,STREET,12,18,6,-6
SOUTH CLINTON STREET,CLINTON,STREET,7,18,6,-1
SOUTH EDWARDS AVENUE,EDWARDS,AVENUE,7,18,6,-1
SOUTH MCBRIDE STREET,MCBRIDE,STREET,7,18,6,-1
STATE FAIR BOULEVARD,STATE FAIR,BOULEVARD,9,18,9,0
WEST BRIGHTON AVENUE,BRIGHTON,AVENUE,8,18,6,-2
WEST CALTHROP AVENUE,CALTHROP,AVENUE,8,18,6,-2
WEST CHELTENHAM ROAD,CHELTENHAM,ROAD,10,18,4,-6
WEST DIVISION STREET,DIVISION,STREET,8,18,6,-2
WEST FLORENCE AVENUE,FLORENCE,AVENUE,8,18,6,-2
WEST LYNHURST AVENUE,LYNHURST,AVENUE,8,18,6,-2
WEST ONONDAGA STREET,ONONDAGA,STREET,8,18,6,-2
WEST PLEASANT AVENUE,PLEASANT,AVENUE,8,18,6,-2
WEST SENECA TURNPIKE,SENECA,TURNPIKE,6,18,8,2
WEST WARRINGTON ROAD,WARRINGTON,ROAD,10,18,4,-6
WESTMORELAND AVENUE,WESTMORELAND,AVENUE,12,18,6,-6
CITY CROSSROADS DRIVE,CITY CROSSROADS,DRIVE,14,19,5,-9
EAST JEFFERSON STREET,JEFFERSON,STREET,9,19,6,-3
EAST LAFAYETTE AVENUE,LAFAYETTE,AVENUE,9,19,6,-3
EAST OSTRANDER AVENUE,OSTRANDER,AVENUE,9,19,6,-3
J STANLEY COYNE CIRCLE,J STANLEY COYNE,CIRCLE,13,19,6,-7
NORTH CHELTENHAM ROAD,CHELTENHAM,ROAD,10,19,4,-6
NORTH FRANKLIN STREET,FRANKLIN,STREET,8,19,6,-2
NORTH LORRAINE AVENUE,LORRAINE,AVENUE,8,19,6,-2
NORTH TOWNSEND STREET,TOWNSEND,STREET,8,19,6,-2
ONONDAGA LAKE PARKWAY,ONONDAGA LAKE,PARKWAY,12,19,7,-5
SOUTH FRANKLIN STREET,FRANKLIN,STREET,8,19,6,-2
SOUTH TOWNSEND STREET,TOWNSEND,STREET,8,19,6,-2
VAN RENSSELAER STREET,VAN RENSSELAER,STREET,13,19,6,-7
WEST JEFFERSON STREET,JEFFERSON,STREET,9,19,6,-3
WEST LAFAYETTE AVENUE,LAFAYETTE,AVENUE,9,19,6,-3
WEST MARCELLUS STREET,MARCELLUS,STREET,9,19,6,-3
WEST OSTRANDER AVENUE,OSTRANDER,AVENUE,9,19,6,-3
CEDAR RIDGE APARTMENTS,CEDAR RIDGE APARTMENTS,,20,20,0,-20
EAST WASHINGTON STREET,WASHINGTON,STREET,10,20,6,-4
MARTIN LUTHER KING EAST,MARTIN LUTHER KING,,16,20,0,-16
MARTIN LUTHER KING WEST,MARTIN LUTHER KING,,16,20,0,-16
MONTICELLO DRIVE NORTH,MONTICELLO,DRIVE,10,20,5,-5
MONTICELLO DRIVE SOUTH,MONTICELLO,DRIVE,10,20,5,-5
WEST WASHINGTON STREET,WASHINGTON,STREET,10,20,6,-4
HIAWATHA BOULEVARD EAST,HIAWATHA,BOULEVARD,8,21,9,1
HIAWATHA BOULEVARD WEST,HIAWATHA,BOULEVARD,8,21,9,1
ONONDAGA PARK DRIVE EAST,ONONDAGA PARK,DRIVE,12,21,5,-7
VILLAGE DRIVE EXTENSION,VILLAGE,DRIVE,7,21,5,-2
WEST KIRKPATRICK STREET,KIRKPATRICK,STREET,11,21,6,-5
NORTH COLLINGWOOD AVENUE,COLLINGWOOD,AVENUE,11,22,6,-5
ONONDAGA CREEK BOULEVARD,ONONDAGA CREEK,BOULEVARD,13,22,9,-4
SOUTH COLLINGWOOD AVENUE,COLLINGWOOD,AVENUE,11,22,6,-5
ELIZABETH BLACKWELL STREET,ELIZABETH BLACKWELL,STREET,18,24,6,-12
ONONDAGA CREEK BOULEVARD EAST,ONONDAGA CREEK,BOULEVARD,13,26,9,-4
WEST STREET ARTERIAL NORTHBOUND,WEST STREET ARTERIAL,,18,28,0,-18
WEST STREET ARTERIAL SOUTHBOUND,WEST STREET ARTERIAL,,18,28,0,-18
GENANT TO NORTH CLINTON CONNECTOR,GENANT TO NORTH CLINTON CONNECTOR,,29,29,0,-29
EAST BRIGHTON AVENUE AVENUE NORTHBOUND,BRIGHTON AVENUE,AVENUE,14,34,6,-8
